,YHOO_close,FTR_close,AKAM_close,EW_close,EBAY_close
2021-02-12,,,101.5900,87.6500,63.0100
2021-02-11,,,101.4600,88.0700,62.3100
2021-02-10,,,105.1000,86.3900,62.3200
2021-02-09,,,117.9700,85.8000,62.2300
2021-02-08,,,117.2800,86.0800,63.8400
2021-02-05,,,114.6700,85.1000,62.2300
2021-02-04,,,112.1100,85.4300,61.1200
2021-02-03,,,111.6000,83.8600,58.0400
2021-02-02,,,112.2100,83.9700,57.3300
2021-02-01,,,111.6500,81.9200,58.4700
2021-01-29,,,111.0300,82.5800,56.5100
2021-01-28,,,112.7800,83.3800,56.4400
2021-01-27,,,120.4400,84.8400,58.3500
2021-01-26,,,117.0000,86.5400,59.1700
2021-01-25,,,111.3300,85.8900,57.2500
2021-01-22,,,109.0600,85.5200,56.4600
2021-01-21,,,109.9500,87.2300,56.4000
2021-01-20,,,109.3600,88.1000,56.1700
2021-01-19,,,110.0100,87.9100,56.9800
2021-01-15,,,106.4500,87.8700,55.4200
2021-01-14,,,102.8500,87.4900,55.2700
2021-01-13,,,101.6800,89.2600,55.7100
2021-01-12,,,101.6800,87.8500,56.0400
2021-01-11,,,102.3700,89.3700,53.9300
2021-01-08,,,103.4600,90.6700,54.4800
2021-01-07,,,102.8100,89.4400,53.0600
2021-01-06,,,101.5300,87.2000,53.2200
2021-01-05,,,105.4200,88.4400,52.0300
2021-01-04,,,105.2400,88.9200,51.5000
2020-12-31,,,104.9900,91.2300,50.2500
2020-12-30,,,104.6500,89.6400,50.5500
2020-12-29,,,106.7100,90.0000,50.8600
2020-12-28,,,107.2800,90.5800,50.2400
2020-12-24,,,107.4600,88.6300,50.1200
2020-12-23,,,107.0600,88.2800,51.1300
2020-12-22,,,106.6400,88.0000,51.6200
2020-12-21,,,105.9800,85.6400,51.5700
2020-12-18,,,107.0800,86.8200,53.0600
2020-12-17,,,105.6100,86.5200,53.0500
2020-12-16,,,104.5200,85.0900,53.6500
2020-12-15,,,103.8700,85.1500,52.0800
2020-12-14,,,103.2700,83.5700,49.5700
2020-12-11,,,103.5300,84.1800,49.1300
2020-12-10,,,103.4100,86.7400,49.6000
2020-12-09,,,104.4300,85.0300,49.5000
2020-12-08,,,104.1000,85.4000,49.8900
2020-12-07,,,102.7800,86.0600,50.0300
2020-12-04,,,104.1900,85.7600,50.9700
2020-12-03,,,104.0900,83.6500,50.2900
2020-12-02,,,103.4600,84.4700,51.3500
2020-12-01,,,104.2100,83.8800,50.5200
2020-11-30,,,103.5100,83.8900,50.4300
2020-11-27,,,104.3200,85.2600,51.3400
2020-11-25,,,103.7400,84.2100,50.4500
2020-11-24,,,102.5200,85.6100,50.5300
2020-11-23,,,102.8100,84.7000,49.9000
2020-11-20,,,102.3200,84.5300,48.9900
2020-11-19,,,101.5000,85.2400,49.7800
2020-11-18,,,100.5900,85.2400,48.5300
2020-11-17,,,102.4500,85.1800,48.3300
2020-11-16,,,101.6800,82.1700,48.5500
2020-11-13,,,101.5300,81.7800,48.6700
2020-11-12,,,98.2300,80.3500,46.5900
2020-11-11,,,97.2000,80.0300,47.7100
2020-11-10,,,96.6800,81.2100,46.5400
2020-11-09,,,99.2700,84.0000,48.3200
2020-11-06,,,101.6300,78.0300,50.6900
2020-11-05,,,102.7100,77.5500,49.4100
2020-11-04,,,99.3400,75.9700,47.8200
2020-11-03,,,95.6700,74.2100,48.9200
2020-11-02,,,95.8100,72.6000,47.8700
2020-10-30,,,95.1200,71.6900,47.6300
2020-10-29,,,95.8200,72.9100,49.2800
2020-10-28,,,97.4000,73.2600,53.2500
2020-10-27,,,106.7100,76.5000,53.5500
2020-10-26,,,106.0600,78.0800,53.3400
2020-10-23,,,106.7500,80.4100,53.7900
2020-10-22,,,108.0000,79.3800,52.2900
2020-10-21,,,109.0200,83.6100,52.8200
2020-10-20,,,109.3000,84.4300,54.2000
2020-10-19,,,109.4100,84.0000,54.3200
2020-10-16,,,110.7100,85.3300,55.8300
2020-10-15,,,109.0500,85.3200,55.4000
2020-10-14,,,113.3300,85.1700,56.4600
2020-10-13,,,115.4600,83.9400,57.5900
2020-10-12,,,114.0900,85.0200,55.3800
2020-10-09,,,112.5300,83.9000,55.4500
2020-10-08,,,111.0800,81.6500,52.0800
2020-10-07,,,109.6800,81.5000,50.9400
2020-10-06,,,108.1600,78.5900,49.6600
2020-10-05,,,109.1000,80.1500,51.7700
2020-10-02,,,108.6100,78.8100,51.6800
2020-10-01,,,109.9300,78.9800,52.3800
2020-09-30,,,110.5400,79.8200,52.1000
2020-09-29,,,111.2100,78.3100,52.6500
2020-09-28,,,110.9700,77.7100,54.0400
2020-09-25,,,111.4700,77.4500,52.4800
2020-09-24,,,110.4700,74.6700,51.7800
2020-09-23,,,110.0800,76.0500,50.6800
2020-09-22,,,112.7500,78.6800,50.9200
