Ticker Symbol,Period Ending,Net Income,Profit Margin,Quick Ratio,Total Assets,Total Liabilities,Earnings Per Share,Estimated Shares Outstanding,Total Current Assets,Total Current Liabilities,Closing Price
AAL,2015-12-31,7610000000.0,19.0,67.0,48415000000.0,42780000000.0,11.39,668129938.543,9985000000.0,13605000000.0,42.799999
ABBV,2015-12-31,5144000000.0,23.0,134.0,53050000000.0,49105000000.0,3.15,1633015873.02,16314000000.0,10894000000.0,59.799999
ABT,2015-12-31,4423000000.0,22.0,126.0,41247000000.0,20036000000.0,2.94,1504421768.71,14155000000.0,9186000000.0,45.27
ADM,2015-12-31,1849000000.0,3.0,101.0,40157000000.0,22242000000.0,2.99,618394648.829,21829000000.0,13505000000.0,36.880001
ADS,2015-12-31,596541000.0,9.0,254.0,22421830000.0,20411800000.0,8.91,66951851.8519,16250417000.0,6405559000.0,276.769989
AEE,2015-12-31,636000000.0,10.0,66.0,23640000000.0,16694000000.0,2.6,244615384.615,1917000000.0,2093000000.0,44.0
AEP,2015-12-31,2052300000.0,12.0,38.0,61683100000.0,43791400000.0,,,4072400000.0,7108500000.0,58.900002
AFL,2015-12-31,2533000000.0,12.0,,118296000000.0,100588000000.0,5.88,430782312.925,0.0,0.0,60.52
AIG,2015-12-31,2196000000.0,4.0,,496943000000.0,407285000000.0,1.69,1299408284.02,0.0,0.0,62.509997999999996
AIV,2015-12-31,248710000.0,25.0,,6144194000.0,4521803000.0,1.52,163625000.0,0.0,0.0,40.360001000000004
AIZ,2015-12-31,141555000.0,1.0,,30036402000.0,25512435000.0,2.08,68055288.4615,0.0,0.0,81.370003
AJG,2015-12-31,356800000.0,7.0,,10910500000.0,7272200000.0,2.07,172367149.758,0.0,0.0,41.380001
AKAM,2015-12-31,321406000.0,15.0,377.0,4187925000.0,1067047000.0,1.8,178558888.88900003,1253188000.0,332440000.0,52.900002
ALB,2015-12-31,334906000.0,9.0,82.0,9615014000.0,6360622000.0,3.01,111264451.827,1831003000.0,1616685000.0,56.34
ALK,2015-12-31,848000000.0,15.0,89.0,6533000000.0,4122000000.0,6.61,128290468.986,1663000000.0,1806000000.0,81.440002
ALL,2015-12-31,2171000000.0,6.0,,104656000000.0,84631000000.0,5.12,424023437.5,0.0,0.0,62.810001
ALLE,2015-12-31,153900000.0,7.0,119.0,2263000000.0,2237400000.0,1.6,96187500.0,735100000.0,447100000.0,66.610001
ALXN,2015-12-31,144000000.0,6.0,300.0,13097000000.0,4838000000.0,0.68,211764705.882,2416000000.0,709000000.0,191.309998
AME,2015-12-31,590859000.0,15.0,108.0,6664530000.0,3409904000.0,2.46,240186585.366,1619613000.0,1025172000.0,54.18
AMG,2015-12-31,516000000.0,21.0,,7784800000.0,4947700000.0,9.49,54373024.236,0.0,0.0,160.740005
AMGN,2015-12-31,6939000000.0,32.0,416.0,71449000000.0,43366000000.0,9.15,758360655.738,38515000000.0,8664000000.0,163.28999299999998
AMP,2015-12-31,1562000000.0,13.0,,145342000000.0,138125000000.0,8.6,181627906.977,0.0,0.0,107.290001
AMT,2015-12-31,685074000.0,14.0,83.0,26904272000.0,20252593000.0,1.42,482446478.873,996468000.0,1200029000.0,98.099998
AMZN,2015-12-31,596000000.0,1.0,75.0,64747000000.0,51363000000.0,1.28,465625000.0,35705000000.0,33887000000.0,689.070007
AN,2015-12-31,442600000.0,2.0,21.0,9548200000.0,7198900000.0,3.93,112620865.14,4709700000.0,5167400000.0,60.279999
ANTM,2015-12-31,2560000000.0,3.0,,61717800000.0,38673700000.0,9.73,263103802.67200002,0.0,0.0,140.96000700000002
AON,2015-12-31,1385000000.0,12.0,,27164000000.0,21058000000.0,4.93,280933062.88,0.0,0.0,93.540001
APA,2015-12-31,-23528000000.0,369.0,173.0,18842000000.0,16276000000.0,-61.2,384444444.444,3752000000.0,1841000000.0,44.810001
APC,2015-12-31,-6692000000.0,77.0,95.0,46331000000.0,33512000000.0,-13.18,507738998.48300004,3981000000.0,4180000000.0,48.380001
APH,2015-12-31,763500000.0,14.0,297.0,7458400000.0,4219900000.0,2.47,309109311.741,3850000000.0,1008400000.0,52.93
ARNC,2015-12-31,-322000000.0,1.0,87.0,36528000000.0,24482000000.0,-0.31,1038709677.42,7953000000.0,5211000000.0,9.960007000000001
